Fid,lat,lon,street,region,traffic_date_time,junction_no,vechile_type,no_of_vehicles,Label
10.42.0.211-66.231.239.124-39985-80-6,40.81332353,-73.92287691,alexander avenue,Bronx,2022-08-23T02:48:42.010Z,2,Car,20,1
10.42.0.1-10.42.0.42-53-30152-17,40.82781653,-73.91722333,bonner place,Bronx,2022-08-23T02:40:27.720Z,2,Car,15,0
10.42.0.151-10.42.0.1-8480-53-17,40.86885694,-73.90730055,bailey avenue,Bronx,2022-08-23T02:37:54.740Z,2,Car,13,1
10.42.0.1-10.42.0.42-53-8403-17,40.81168958,-73.89560145,barry street,Bronx,2022-08-23T02:30:13.850Z,2,Car,10,0
10.42.0.211-10.42.0.1-58493-53-17,40.81207391,-73.89578238,barry street,Bronx,2022-08-23T02:27:52.390Z,2,Taxi/Private hire car,7,1
10.42.0.211-10.42.0.1-24144-53-17,40.84996476,-73.89875181,alden place,Bronx,2022-08-23T02:15:47.520Z,1,Car,9,0
203.205.158.61-10.42.0.151-80-44157-6,40.87705486,-73.90021502,armand place,Bronx,2022-08-23T02:02:56.400Z,1,Pedal cycle,6,1
10.42.0.151-64.71.142.124-57470-443-6,40.88063869,-73.90023138,bailey place,Bronx,2022-08-23T01:58:42.728Z,2,Car,9,1
10.42.0.211-123.59.190.251-40798-80-6,40.87277332,-73.88863329,bedford park boulevard,Bronx,2022-08-23T01:33:16.773Z,2,Goods vehicle ,8,0
203.205.158.44-10.42.0.151-80-39837-6,40.86012409,-73.88673257,bathgate avenue,Bronx,2022-08-23T01:17:33.335Z,2,Car,11,1
172.217.10.110-10.42.0.151-443-57269-6,40.85876369,-73.8829009,belmont avenue,Bronx,2022-08-23T01:08:09.380Z,2,Car,12,0
10.42.0.151-104.193.88.109-48413-80-6,40.86779527,-73.88146673,botanical square,Bronx,2022-08-23T00:55:53.350Z,2,Car,15,0
222.73.28.96-10.42.0.211-80-60493-6,40.88076129,-73.90047503,bailey place,Bronx,2022-08-23T00:47:42.860Z,2,Motorcycle,17,1
10.42.0.211-10.42.0.1-14292-53-17,40.91130718,-73.89663211,broadway,Bronx,2022-08-23T00:35:27.226Z,2,Goods vehicle,16,1
172.217.10.78-10.42.0.211-443-34293-6,40.81297434,-73.86385476,bronx river avenue,Bronx,2022-08-23T00:08:04.680Z,2,Pedal cycle,15,0
10.42.0.211-66.102.255.40-51277-443-6,40.8080663,-73.85751659,b street,Bronx,2022-08-22T23:54:58.040Z,2,Car,16,1
172.217.9.238-10.42.0.151-443-54881-6,40.80819949,-73.85603544,banes court,Bronx,2022-08-22T23:50:45.500Z,2,Goods vehicle ,12,0
10.42.0.1-10.42.0.42-53-14100-17,40.81123148,-73.8504329,betts avenue,Bronx,2022-08-22T23:48:26.870Z,2,Car,12,1
10.42.0.211-10.42.0.1-61791-53-17,40.81440483,-73.85114613,barrett avenue,Bronx,2022-08-22T23:44:46.830Z,2,Bus,16,0
4.53.160.75-10.42.0.42-123-50947-17,40.84247456,-73.86516781,baker avenue,Bronx,2022-08-22T23:37:39.220Z,2,Motorcycle ,17,1
10.42.0.211-104.192.110.245-49741-443-6,40.83793647,-73.86292251,archer street,Bronx,2022-08-22T23:29:17.340Z,2,Car,20,0
172.217.7.195-10.42.0.151-443-35501-6,40.8475934,-73.86272614,barnett place,Bronx,2022-08-22T23:17:36.970Z,1,Car,17,0
10.42.0.211-77.234.44.200-58448-80-6,40.85558502,-73.86986102,bronx park east,Bronx,2022-08-22T23:00:51.510Z,2,Car,19,0
10.42.0.151-52.84.29.154-34143-443-6,40.85662184,-73.86863297,bolton street,Bronx,2022-08-22T23:00:15.010Z,2,Car,20,0
172.217.12.174-10.42.0.151-443-52811-6,40.86603574,-73.83380645,allerton avenue,Bronx,2022-08-22T23:00:13.870Z,2,Taxi,15,0
10.42.0.211-69.147.82.61-49724-443-6,40.88449613,-73.86566135,bronx boulevard,Bronx,2022-08-22T22:52:33.420Z,2,Car,14,1
10.42.0.211-10.42.0.1-6816-53-17,40.89193848,-73.85515033,barnes avenue,Bronx,2022-08-22T22:41:26.690Z,2,Car,12,1
172.217.12.174-10.42.0.42-443-42262-6,40.90804423,-73.85305112,abbot street,Bronx,2022-08-22T22:34:51.190Z,1,Car,14,0
10.42.0.211-77.234.44.40-37737-80-6,40.82137406,-73.81104968,13 avenue,Bronx,2022-08-22T22:27:15.485Z,2,Car,12,0
10.42.0.211-10.42.0.1-9137-53-17,40.82152153,-73.81064698,12 avenue,Bronx,2022-08-22T22:25:50.670Z,2,Car,12,0
10.42.0.151-10.42.0.1-5153-53-17,40.82400184,-73.81251389,1 avenue,Bronx,2022-08-22T22:22:25.001Z,1,Car,11,1
172.217.12.195-10.42.0.151-443-43603-6,40.82350459,-73.81232518,3 avenue,Bronx,2022-08-22T22:21:34.190Z,1,Car,13,1
10.42.0.151-54.192.38.7-52507-443-6,40.81440983,-73.80976514,aster place,Bronx,2022-08-22T22:16:15.720Z,2,Car,14,1
180.149.136.194-10.42.0.211-80-36134-6,40.8207151,-73.80800924,blair avenue,Bronx,2022-08-22T22:14:35.200Z,2,Car,12,1
10.42.0.1-10.42.0.42-53-22444-17,40.82105271,-73.80820037,blair avenue,Bronx,2022-08-22T22:12:09.160Z,2,Car,22,1
10.42.0.211-23.206.125.17-38409-80-6,40.82490798,-73.80944181,2 avenue,Bronx,2022-08-22T22:12:03.080Z,2,Car,32,0
10.42.0.211-10.42.0.1-65111-53-17,40.81007684,-73.80304955,alan place,Bronx,2022-08-22T22:02:47.520Z,2,Goods vehicle,31,1
10.42.0.151-23.21.88.60-52045-443-6,40.82655044,-73.82844888,brinsmade avenue,Bronx,2022-08-22T22:02:39.449Z,2,Pedal cycle,35,0
10.42.0.211-64.71.142.120-35949-80-6,40.8356259,-73.82767641,b street,Bronx,2022-08-22T22:00:54.286Z,2,Car,26,0
10.42.0.211-98.139.180.180-44773-443-6,40.88484304,-73.82851338,allen place,Bronx,2022-08-22T21:52:43.910Z,2,Goods vehicle ,34,0
10.42.0.211-10.42.0.1-10577-53-17,40.83851785,-73.78171061,belden street,Bronx,2022-08-22T21:42:27.050Z,2,Car,30,1
172.217.6.195-10.42.0.42-443-54126-6,40.85673866,-73.79049297,bridge street,Bronx,2022-08-22T21:32:41.720Z,2,Bus,27,0
163.177.93.221-10.42.0.151-80-50036-6,40.82318694,-73.9092235,3 avenue,Bronx,2022-08-22T21:26:50.290Z,2,Motorcycle ,27,1
205.185.216.42-10.42.0.151-80-48850-6,40.89512935,-73.91089789,alderbrook road,Bronx,2022-08-22T21:05:42.900Z,2,Car,26,0
10.42.0.211-10.42.0.1-29263-53-17,40.81361606,-73.81257944,aster place,Bronx,2022-08-22T21:04:29.523Z,1,Car,29,1
10.42.0.211-119.146.74.33-50820-443-6,40.81390501,-73.81310409,balsam place,Bronx,2022-08-22T20:50:29.478Z,2,Car,32,0
10.42.0.211-77.234.44.200-48907-80-6,40.81046314,-73.80313247,bevy place,Bronx,2022-08-22T20:48:36.360Z,2,Taxi,30,1
172.217.6.206-10.42.0.151-443-45959-6,40.86523239,-73.83618742,allerton avenue,Bronx,2022-08-22T20:46:27.930Z,2,Car,27,1
10.42.0.211-123.125.115.164-43268-443-6,40.86733767,-73.84290826,arnow avenue,Bronx,2022-08-22T20:46:12.936Z,2,Car,21,0
205.185.216.42-10.42.0.42-80-55970-6,40.82522212,-73.9077819,boston road,Bronx,2022-08-22T20:37:34.420Z,2,Car,18,1
10.42.0.211-115.239.210.141-41076-80-6,40.88027585,-73.90089752,bailey avenue,Bronx,2022-08-22T20:37:30.390Z,2,Bus,19,0
203.130.53.126-10.42.0.42-80-33318-6,40.89641588,-73.85260808,barnes avenue,Bronx,2022-08-22T20:37:03.300Z,2,Truck,13,0
140.205.140.87-10.42.0.151-443-51585-6,40.85438413,-73.89059624,3 avenue,Bronx,2022-08-22T20:34:05.953Z,2,School Bus,11,1
172.217.11.10-10.42.0.211-443-45722-6,40.81313101,-73.92266086,alexander avenue,Bronx,2022-08-22T20:30:57.740Z,2,Goods vehicle,11,1
10.42.0.1-10.42.0.42-53-3236-17,40.81143699,-73.9009064,austin place,Bronx,2022-08-22T20:27:29.160Z,2,Pedal cycle,11,0
10.42.0.42-106.11.94.1-38017-443-6,40.8284554,-73.88614587,boone avenue,Bronx,2022-08-22T20:20:02.370Z,2,Car,14,1
10.42.0.211-64.71.142.124-55878-443-6,40.83006711,-73.88641135,boone avenue,Bronx,2022-08-22T20:19:51.000Z,2,Goods vehicle ,15,0
10.42.0.151-52.84.29.137-39488-443-6,40.85436155,-73.89069174,3 avenue,Bronx,2022-08-22T20:18:13.070Z,2,Car,29,1
10.42.0.211-66.198.24.225-38247-443-6,40.82216683,-73.81155958,adee avenue,Bronx,2022-08-22T20:07:40.159Z,2,Bus,33,0
192.229.173.173-10.42.0.211-443-37574-6,40.8440394,-73.92429115,boscobel place,Bronx,2022-08-22T20:02:25.240Z,2,Motorcycle ,32,1
10.42.0.211-10.42.0.1-40696-53-17,40.81251547,-73.85682612,bolton avenue,Bronx,2022-08-22T19:17:54.420Z,2,Car,32,0
10.42.0.211-103.7.30.118-38647-80-6,40.85563971,-73.86057294,bogart avenue,Bronx,2022-08-22T19:16:51.497Z,2,Car,29,0
157.55.130.150-10.42.0.211-443-60774-17,40.81236917,-73.85704681,bolton avenue,Bronx,2022-08-22T19:14:38.786Z,2,Car,27,0
10.42.0.211-121.12.98.63-56541-80-6,40.81594954,-73.85471838,barrett avenue,Bronx,2022-08-22T19:07:46.860Z,2,Car,26,0
157.240.2.20-10.42.0.211-443-51677-6,40.83131437,-73.90045445,boston road,Bronx,2022-08-22T19:01:35.307Z,2,Goods vehicle,28,0
172.217.1.174-10.42.0.151-443-41400-6,40.8670479,-73.83081052,bay plaza driveway,Bronx,2022-08-22T18:58:14.950Z,2,Pedal cycle,26,1
10.42.0.151-52.218.20.12-58871-80-6,40.8691489,-73.82362221,bay plaza driveway,Bronx,2022-08-22T18:51:50.260Z,2,Car,25,1
175.100.207.233-10.42.0.42-443-51704-6,40.86632631,-73.88297339,bedford park boulevard,Bronx,2022-08-22T18:51:04.292Z,2,Goods vehicle ,29,0
10.42.0.211-52.84.134.65-41283-443-6,40.85188325,-73.89006342,arthur avenue,Bronx,2022-08-22T18:42:06.140Z,2,Car,26,0
172.217.7.195-10.42.0.151-443-47860-6,40.86637029,-73.88268738,bedford park boulevard,Bronx,2022-08-22T18:41:52.780Z,2,Bus,24,0
172.217.12.202-10.42.0.211-443-39001-6,40.86644212,-73.88301749,bedford park boulevard,Bronx,2022-08-22T18:34:23.057Z,2,Motorcycle ,25,1
10.42.0.42-104.193.88.102-56562-443-6,40.87025848,-73.83096583,aldrich street,Bronx,2022-08-22T18:32:08.120Z,1,Car,20,1
10.42.0.211-119.167.164.115-58939-80-6,40.85999218,-73.82639003,bassett avenue,Bronx,2022-08-22T18:10:06.500Z,1,Car,18,1
202.77.129.150-10.42.0.211-80-40563-6,40.86647414,-73.88293607,bedford park boulevard,Bronx,2022-08-22T18:06:33.682Z,1,Car,18,1
172.217.12.131-10.42.0.151-443-50747-6,40.84806459,-73.84448916,bassett avenue,Bronx,2022-08-22T18:02:19.440Z,1,Car,13,1
10.42.0.151-10.42.0.1-49132-53-17,40.8514807,-73.86113092,bogart avenue,Bronx,2022-08-22T17:51:27.580Z,1,Taxi,13,0
10.42.0.1-10.42.0.42-53-32288-17,40.87676284,-73.90692729,broadway,Bronx,2022-08-22T17:46:47.750Z,1,Car,10,1
10.42.0.211-54.192.38.65-38000-443-6,40.86750359,-73.83109392,baychester avenue,Bronx,2022-08-22T17:43:15.960Z,2,Car,12,0
10.42.0.151-10.42.0.1-51572-53-17,40.88536733,-73.89492372,bailey avenue,Bronx,2022-08-22T17:41:39.230Z,2,Car,13,0
10.42.0.151-10.42.0.1-5886-53-17,40.88538211,-73.89438533,bailey avenue,Bronx,2022-08-22T17:32:52.730Z,2,Car,11,0
10.42.0.211-104.196.146.38-53274-443-6,40.81830678,-73.86290557,beach avenue,Bronx,2022-08-22T17:26:36.646Z,2,Car,13,1
172.217.10.225-10.42.0.151-443-49092-6,40.81579422,-73.87869248,avenue d,Bronx,2022-08-22T17:16:16.210Z,1,Motorcycle ,22,0
183.232.231.30-10.42.0.211-443-43582-6,40.83762336,-73.88757264,boston road,Bronx,2022-08-22T17:15:51.700Z,1,Lorry,26,1
172.217.6.200-10.42.0.211-443-43828-6,40.83704615,-73.88823114,boston road,Bronx,2022-08-22T17:13:40.757Z,2,Car,27,0
163.177.151.166-10.42.0.211-443-43509-6,40.8650871,-73.84972411,bouck avenue,Bronx,2022-08-22T17:11:47.390Z,2,Bus,31,1
172.217.12.174-10.42.0.42-443-40970-6,40.86518964,-73.84994363,bouck avenue,Bronx,2022-08-22T17:01:09.490Z,2,Motorcycle ,24,0
203.205.190.40-10.42.0.42-80-52495-6,40.86526515,-73.84994211,bouck avenue,Bronx,2022-08-22T16:52:24.880Z,2,Car,23,1
10.42.0.211-123.125.29.138-50592-80-6,40.8650871,-73.84972411,bouck avenue,Bronx,2022-08-22T16:44:06.070Z,2,Bus,26,1
10.42.0.211-10.42.0.1-15528-53-17,40.8849609,-73.79925789,beech tree lane,Bronx,2022-08-22T16:42:22.020Z,2,Lorry,26,0
10.42.0.211-120.27.176.35-50973-80-6,40.88436027,-73.7993766,beech tree lane,Bronx,2022-08-22T16:35:57.070Z,2,Car,24,1
172.217.10.142-10.42.0.151-443-39795-6,40.88445811,-73.79857374,beech tree lane,Bronx,2022-08-22T16:35:06.150Z,2,Goods vehicle ,23,0
10.42.0.1-10.42.0.42-53-22421-17,40.81483831,-73.8681274,bronx river avenue,Bronx,2022-08-22T16:35:01.099Z,2,Car,25,0
10.42.0.42-119.146.74.31-35457-443-6,40.8224023,-73.80699064,1 avenue,Bronx,2022-08-22T16:23:41.150Z,2,Car,26,1
199.16.156.107-10.42.0.211-443-35088-6,40.82264027,-73.80955464,11 avenue,Bronx,2022-08-22T16:05:13.590Z,2,Car,24,1
151.101.21.140-10.42.0.211-443-42597-6,40.81950495,-73.9323319,145 street bridge,Bronx,2022-08-22T16:00:19.530Z,3,Motorcycle,26,0
10.42.0.151-104.97.95.172-51878-80-6,40.81937219,-73.93076503,145 street bridge approach,Bronx,2022-08-22T15:42:59.200Z,3,Goods vehicle,24,1
172.217.10.35-10.42.0.211-80-58422-6,40.80949115,-73.92931086,3 avenue,Bronx,2022-08-22T15:37:38.424Z,3,Pedal cycle,19,0
184.29.173.155-10.42.0.211-80-58850-6,40.85469735,-73.89039096,3 avenue,Bronx,2022-08-22T15:32:22.530Z,2,Car,20,1
10.42.0.211-103.235.46.212-38476-443-6,40.82237293,-73.8074255,3 avenue,Bronx,2022-08-22T15:28:15.030Z,2,Goods vehicle ,18,0
202.77.129.150-10.42.0.211-443-39755-6,40.82461014,-73.80777502,3 avenue,Bronx,2022-08-22T15:18:46.620Z,2,Car,13,1
158.85.58.112-10.42.0.151-443-55451-6,40.80878451,-73.93000019,3 avenue,Bronx,2022-08-22T15:03:11.480Z,2,Bus,13,0
172.217.9.238-10.42.0.211-443-49735-6,40.80841863,-73.93090669,3 avenue,Bronx,2022-08-22T15:03:05.240Z,2,Motorcycle ,9,0
10.42.0.211-10.42.0.1-46760-53-17,40.81116854,-73.9269296,3 avenue,Bronx,2022-08-22T15:02:13.099Z,2,Car,12,0
216.58.219.238-10.42.0.151-443-44201-6,40.80786412,-73.93184708,3 avenue bridge,Bronx,2022-08-22T15:00:00.555Z,2,Car,12,0
172.217.6.234-10.42.0.151-443-34709-6,40.80809266,-73.9312737,3 avenue bridge,Bronx,2022-08-22T14:49:26.210Z,2,Car,15,0
180.149.153.234-10.42.0.211-80-48898-6,40.80831929,-73.93092595,3 avenue bridge,Bronx,2022-08-22T14:45:18.040Z,1,Car,16,1
10.42.0.1-10.42.0.42-53-60372-17,40.82422353,-73.80796522,4 avenue,Bronx,2022-08-22T13:53:56.005Z,1,Taxi,23,1
172.217.10.227-10.42.0.211-443-53923-6,40.82299578,-73.80806984,5 avenue,Bronx,2022-08-22T13:50:10.265Z,1,Car,24,0
10.42.0.211-119.146.74.33-53733-443-6,40.82381652,-73.81018053,5 avenue,Bronx,2022-08-22T13:50:07.970Z,1,Car,25,0
192.229.173.173-10.42.0.42-80-58932-6,40.82326036,-73.81078836,7 avenue,Bronx,2022-08-22T13:41:00.580Z,1,Car,24,0
172.217.9.232-10.42.0.42-443-45279-6,40.82290294,-73.80866144,7 avenue,Bronx,2022-08-22T13:36:44.980Z,3,Car,26,1
172.217.10.65-10.42.0.211-443-39634-6,40.8227784,-73.80910048,9 avenue,Bronx,2022-08-22T13:35:51.820Z,3,Car,22,1
10.42.0.211-120.27.176.35-50973-80-6,40.82284894,-73.8110307,9 avenue,Bronx,2022-08-22T13:35:42.970Z,3,Car,20,1
10.42.0.211-10.42.0.1-62547-53-17,40.81832897,-73.92636002,a j griffin place,Bronx,2022-08-22T13:31:49.810Z,2,Car,20,1
172.217.10.112-10.42.0.151-443-60459-6,40.81051268,-73.85804017,a street,Bronx,2022-08-22T13:30:52.854Z,2,Car,22,1
10.42.0.151-64.71.142.120-35965-443-6,40.81217802,-73.80779141,acorn place,Bronx,2022-08-22T13:28:02.250Z,1,Car,26,0
10.42.0.211-64.71.142.124-35807-443-6,40.85298766,-73.8889139,adams place,Bronx,2022-08-22T13:27:23.710Z,1,Car,22,1
10.42.0.211-123.125.46.161-49629-80-6,40.83973376,-73.86969678,adams street,Bronx,2022-08-22T13:21:59.180Z,2,Car,21,0
10.42.0.1-10.42.0.42-53-30152-17,40.86948792,-73.85461649,adee avenue,Bronx,2022-08-22T13:15:54.980Z,2,Goods vehicle,21,0
183.79.248.124-10.42.0.42-443-52948-6,40.86968396,-73.86990712,adee avenue,Bronx,2022-08-22T13:13:27.470Z,2,Pedal cycle,21,0
10.42.0.211-88.212.201.194-43397-443-6,40.86942243,-73.84263653,adee avenue,Bronx,2022-08-22T13:11:53.137Z,2,Car,16,1
10.42.0.211-23.23.129.231-60698-443-6,40.82199635,-73.812008,adee avenue,Bronx,2022-08-22T13:07:57.390Z,2,Goods vehicle ,18,0
151.101.45.140-10.42.0.211-443-48549-6,40.82230495,-73.81114212,adee avenue,Bronx,2022-08-22T13:01:55.030Z,2,Car,19,1
10.42.0.211-10.42.0.1-28657-53-17,40.8713996,-73.82823723,adler place,Bronx,2022-08-22T12:55:50.610Z,3,Bus,14,0
151.101.118.2-10.42.0.211-443-43773-6,40.80703381,-73.85418413,admiral lane,Bronx,2022-08-22T12:53:11.110Z,3,Motorcycle ,12,1
172.217.6.238-10.42.0.42-443-49649-6,40.83926033,-73.81739087,agar place,Bronx,2022-08-22T12:50:33.850Z,3,Car,13,0
10.42.0.211-65.55.223.45-60774-40024-17,40.87658979,-73.9015454,albany crescent,Bronx,2022-08-22T12:42:17.290Z,1,Car,14,1
